1,"Gli atti e i documenti del fascicolo
telematico non devono essere nuovamente
depositati nelle fasi successive del giudizio
o nei suoi ulteriori gradi. In tal senso:","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 546.","Dispone l'art. 25-bis del d.lgs. del 31 dicembre
1992 n. 545.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 546.","Non dispone alcuna norma del d.lgs. del 31
dicembre 1992 n. 545."
213,Selezionare l'affermazione corretta:,"Nel giudizio di appello non sono ammessi
nuovi mezzi di prova e non possono essere
prodotti nuovi documenti, salvo che la parte
dimostri di non aver potuto proporli o produrli
nel giudizio di primo grado per causa ad essa
non imputabile.","Nel giudizio di appello non sono ammessi
nuovi mezzi di prova e non possono essere
prodotti nuovi documenti, anche laddove la
parte dimostri di non aver potuto proporli o
produrli nel giudizio di primo grado per causa
ad essa non imputabile.","Nel giudizio di appello non sono ammessi in
ogni caso nuovi mezzi di prova ma possono
essere prodotti nuovi documenti, purché la
parte dimostri di non aver potuto proporli o
produrli nel giudizio di primo grado per causa
ad essa non imputabile.","Nel giudizio di appello non possono essere
prodotti in ogni caso nuovi documenti ma sono
ammessi nuovi mezzi di prova, purché la parte
dimostri di non aver potuto proporli o produrli
nel giudizio di primo grado per causa ad essa
non imputabile."
214,"Ai sensi dell'art. 6 del Decreto del Ministero
dell'Economia e delle Finanze del 23
dicembre 2013 n. 163:","L'indicazione dell'indirizzo di posta elettronica
certificata di cui all'articolo 7 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163, ai sensi dell'articolo 18
del d.lgs. del 31 dicembre 1992, n. 546,
contenuta nel ricorso introduttivo notificato
tramite PEC, equivale ad elezione di domicilio
digitale ai fini delle comunicazioni e
notificazioni telematiche.","L'indicazione dell'indirizzo di posta elettronica
certificata di cui all'articolo 7 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163, ai sensi dell'articolo 17
del d.lgs. del 31 dicembre 1992, n. 545,
contenuta nel ricorso introduttivo notificato
tramite PEC, equivale ad elezione di domicilio
digitale ai fini delle comunicazioni e
notificazioni telematiche.","L'indicazione dell'indirizzo di posta elettronica
certificata di cui all'articolo 7 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163, ai sensi dell'articolo 15
del d.lgs. del 31 dicembre 1992, n.545
contenuta nel ricorso introduttivo notificato
tramite PEC, equivale ad elezione di domicilio
digitale ai fini delle comunicazioni e
notificazioni telematiche.","L'indicazione dell'indirizzo di posta elettronica
certificata di cui all'articolo 7 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163, ai sensi dell'articolo 18
del d.lgs. del 31 dicembre 1992, n. 545,
contenuta nel ricorso introduttivo notificato
tramite PEC, non equivale in ogni caso ad
elezione di domicilio digitale ai fini delle
comunicazioni e notificazioni telematiche."
215,"Avverso la sentenza della Corte di giustizia
tributaria di secondo grado può essere
proposto ricorso per cassazione:","Per violazione o falsa applicazione di norme di
diritto e dei contratti e accordi collettivi
nazionali di lavoro.","Per violazione o falsa applicazione di norme di
diritto. Non può essere proposto ricorso per
cassazione per violazione o falsa applicazione
dei contratti e accordi collettivi nazionali di
lavoro.","Per violazione o falsa applicazione di norme di
diritto. Può essere proposto ricorso per
cassazione soltanto per violazione, e non per
falsa applicazione, dei contratti e accordi
collettivi nazionali di lavoro.","Per violazione, esclusa la falsa applicazione, di
norme di diritto e dei contratti e accordi
collettivi nazionali di lavoro."
216,"Ai sensi dell'art. 17 del d.lgs. del 31
dicembre del 1992 n. 546, in relazione al
luogo delle comunicazioni e delle
notificazioni:","Se mancano l'elezione di domicilio o la
dichiarazione della residenza o della sede nel
territorio dello Stato o se per la loro assoluta
incertezza la notificazione o la comunicazione
degli atti non è possibile, questi sono
comunicati o notificati presso la segreteria
della Corte di giustizia tributaria.","Se mancano l'elezione di domicilio o la
dichiarazione della residenza o della sede nel
territorio dello Stato o se per la loro assoluta
incertezza la notificazione o la comunicazione
degli atti non è possibile, questi sono
comunicati o notificati presso la Direzione
regionale dell'Agenzia delle Entrate.","Se mancano l'elezione di domicilio o la
dichiarazione della residenza o della sede nel
territorio dello Stato o se per la loro assoluta
incertezza la notificazione o la comunicazione
degli atti non è possibile, questi sono
comunicati o notificati presso la Direzione
provinciale dell'Agenzia delle Entrate.","Se mancano l'elezione di domicilio o la
dichiarazione della residenza o della sede nel
territorio dello Stato o se per la loro assoluta
incertezza la notificazione o la comunicazione
degli atti non è possibile, questi sono
comunicati o notificati presso il Garante
regionale del contribuente."
217,"Ai sensi dell'art. 47 del d.lgs. del 31
dicembre 1992 n. 546:","Il presidente fissa con decreto la trattazione
della istanza di sospensione per la prima
camera di consiglio utile e comunque non oltre
il trentesimo giorno dalla presentazione della
medesima istanza.","Il presidente fissa con decreto la trattazione
della istanza di sospensione per la prima
camera di consiglio utile e comunque non oltre
il ventesimo giorno dalla presentazione della
medesima istanza.","Il presidente fissa con decreto la trattazione
della istanza di sospensione per la prima
camera di consiglio utile e comunque non oltre
il decimo giorno dalla presentazione della
medesima istanza.","Il presidente fissa con decreto la trattazione
della istanza di sospensione per la prima
camera di consiglio utile e comunque non oltre
il sessantesimo giorno dalla presentazione della
medesima istanza."
218,"La Sezione IV, Capo I, titolo II del d.lgs. del
31 dicembre 1992 n. 546, art. 36 e seguenti","È dedicata alla decisione della controversia nel
processo tributario.","E' dedicata alla sospensione, interruzione ed
estinzione del processo nel processo tributario.","E' dedicata al procedimento cautelare nel
processo tributario.","E' dedicata al procedimento conciliativo nel
processo tributario."
219,"Ai sensi di quanto previsto dall'art. 57 del
d.lgs. del 31 dicembre 1992 n. 546:","Nel giudizio d'appello non possono proporsi
nuove eccezioni che non siano rilevabili anche
d'ufficio.","Nel giudizio d'appello possono proporsi nuove
eccezioni che non siano rilevabili anche
d'ufficio.","Nel giudizio d'appello possono proporsi nuove
eccezioni purché non siano rilevabili anche
d'ufficio.","Nel giudizio d'appello possono proporsi nuove
eccezioni purché siano soltanto rilevabili ad
istanza di parte."
220,"Ai sensi dell'art. 62-bis del d.lgs. del 31
dicembre 1992 n. 546:","La parte che ha proposto ricorso per cassazione
può chiedere alla Corte di giustizia tributaria
che ha pronunciato la sentenza impugnata di
sospenderne in tutto o in parte l'esecutività allo
scopo di evitare un danno grave e irreparabile.","La Corte di cassazione può sospendere
d'ufficio, in tutto o in parte, l'esecutività della
sentenza impugnata allo scopo di evitare un
danno grave e irreparabile.","La parte che ha proposto ricorso per cassazione
può sospendere su istanza di parte, in tutto o
parzialmente, l'esecutività della sentenza
impugnata allo scopo di evitare un danno grave
e irreparabile.","La Corte di cassazione può decretare che la
Corte di giustizia tributaria che ha pronunciato
la sentenza impugnata disponga la sospensione,
totale o parziale, dell'esecutività della predetta
sentenza allo scopo di evitare un danno grave e
irreparabile."
221,"Il provvedimento con il quale si provvede
alla liquidazione delle spese relative alla
rinuncia al ricorso:",È un'ordinanza non impugnabile.,È un decreto non impugnabile.,E' una sentenza non impugnabile.,E' una sentenza impugnabile.
222,"Ai sensi dell'art. 48-bis.1 del d.lgs. del 31
dicembre 1992 n. 546:","Nel caso di perfezionamento della
conciliazione proposta dalla corte di giustizia
tributaria, il giudice dichiara con sentenza
l'estinzione del giudizio per cessazione della
materia del contendere.","Nel caso di perfezionamento della conciliazione
proposta dalla corte di giustizia tributaria, il
giudice dichiara con ordinanza l'estinzione del
giudizio per cessazione della materia del
contendere.","Nel caso di perfezionamento della conciliazione
proposta dalla corte di giustizia tributaria, il
giudice dichiara con ordinanza la sospensione
temporanea del giudizio. Nel caso in cui il
contribuente corrisponda per l'intero l'importo
dovuto all'Ente impositore, la Corte dichiarerà
la estinzione del processo nei per cessazione
della materia del contendere.","Nel caso di perfezionamento della conciliazione
proposta dalla corte di giustizia tributaria, il
giudice dichiara con sentenza la sospensione
temporanea del giudizio. Nel caso in cui il
contribuente corrisponda per l'intero l'importo
dovuto all'Ente impositore, la Corte dichiarerà
la estinzione del processo nei per cessazione
della materia del contendere."
223,"Ai sensi dell'art. 47-bis del d.lgs. del 31
dicembre 1992 n. 546:","Alla scadenza del termine di sessanta giorni
dall'emanazione dell'ordinanza di sospensione
di atti volti al recupero di aiuti di Stato, il
provvedimento perde comunque efficacia,
salvo che la Corte di giustizia tributaria di
primo grado entro il medesimo termine
riesamini, su istanza di parte, l'ordinanza di
sospensione e ne disponga la conferma, anche
parziale.","Alla scadenza del termine di novanta giorni
dall'emanazione dell'ordinanza di sospensione
di atti volti al recupero di aiuti di Stato, il
provvedimento non perde efficacia nel caso in
cui la Corte di giustizia tributaria di primo
grado entro il medesimo termine riesamini, su
istanza di parte, l'ordinanza di sospensione e ne
disponga la conferma, anche parziale.","Alla scadenza del termine di sessanta giorni
dall'emanazione del decreto di sospensione di
atti volti al recupero di aiuti di Stato, il
provvedimento perde comunque efficacia,
salvo che la Corte di giustizia tributaria di
primo grado entro il medesimo termine
riesamini, su istanza di parte, l'ordinanza di
sospensione e ne disponga la conferma, anche
parziale.","Alla scadenza del termine di sessanta giorni
dall'emanazione del decreto di sospensione di
atti volti al recupero di aiuti di Stato, il
provvedimento non perde efficacia nel caso in
cui la Corte di giustizia tributaria di primo
grado entro il medesimo termine riesamini, su
istanza di parte, l'ordinanza di sospensione e ne
disponga la conferma, anche parziale."
224,"Ai sensi dell'art. 9 del Decreto del Ministero
dell'Economia e delle Finanze del 23
dicembre 2013 n. 163:","Il deposito presso la segreteria della Corte di
giustizia tributaria del ricorso e degli altri atti
di cui al comma 1 dell'art. 9 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163, unitamente alle relative
ricevute della PEC, avviene esclusivamente
mediante il S.I.Gi.T.","Il deposito presso la segreteria della Corte di
giustizia tributaria del ricorso e degli altri atti di
cui al comma 1 dell'art. 9 del Decreto del
Ministero dell'Economia e delle Finanze del 23
dicembre 2013 n. 163, unitamente alle relative
ricevute della PEC, può avvenire mediante il
S.I.Gi.T. o, alternativamente, presso gli Uffici
delle segreteria della Corte di giustizia
tributaria.","Il deposito presso la segreteria della Corte di
giustizia tributaria del ricorso e di cui al comma
1 dell'art. 9 del Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163, unitamente alle relative ricevute
della PEC, avviene esclusivamente mediante il
S.I.Gi.T. . Il deposito presso la segreteria della
Corte di giustizia tributaria degli atti diversi dal
ricorso avviene presso gli Uffici delle segreteria
della Corte di giustizia tributaria.","Il deposito del ricorso e degli altri atti di cui al
comma 1 dell'art. 9 del Decreto del Ministero
dell'Economia e delle Finanze del 23 dicembre
2013 n. 163, unitamente alle relative ricevute
della PEC avviene esclusivamente presso gli
Uffici della segreteria della Corte di giustizia
tributaria."
225,"Nel processo tributario, il ricorso in appello:","Deve essere depositato a norma dell'art. 22,
commi 1, 2 e 3 del d.lgs. del 31 dicembre 1992
n. 546.","Deve essere depositato a norma dell'art. 20,
commi 2, 3 e 4 del d.lgs. del 31 dicembre 1992
n. 545.","Deve essere depositato a norma dell'art. 20,
commi 1, 3 e 4 del d.lgs. del 31 dicembre 1992
n. 545.","Deve essere depositato a norma dell'art. 2,
commi 1, 2 e 5 del d.lgs. del 31 dicembre 1992
n. 546."
226,"L'art. 47 del d.lgs. del 31 dicembre 1992 n.
546 prevede che:","Della trattazione dell'istanza di sospensione ne
è data comunicazione alle parti almeno cinque
giorni liberi prima.","Della trattazione dell'istanza di sospensione ne è
data comunicazione alle parti almeno trenta
giorni liberi prima.","Della trattazione dell'istanza di sospensione ne
è data comunicazione alle parti almeno venti
giorni liberi prima.","Della trattazione dell'istanza di sospensione ne è
data comunicazione alle parti almeno quaranta
giorni liberi prima."
227,"La forma dell'appello nel processo tributario
è individuata:","Dall'art. 53 del d.lgs. del 31 dicembre 1992 n.
546.","Dall'art. 6 del d.lgs. del 31 dicembre 1992 n.
546.","Dall'art. 9 del d.lgs. del 31 dicembre 1992 n.
546.","Dall'art. 4 del d.lgs. del 31 dicembre 1992 n.
546."
228,Seleziona l'affermazione corretta:,"Il ricorso tributario può essere proposto
avverso il diniego o la revoca di agevolazioni o
il rigetto di domande di definizione agevolata
di rapporti tributari.","Il ricorso tributario può essere proposto avverso
il diniego, ma non anche avverso la revoca, di
agevolazioni o il rigetto di domande di
definizione agevolata di rapporti tributari.","Il ricorso tributario può essere proposto avverso
la revoca, ma non anche avverso il diniego, di
agevolazioni o il rigetto di domande di
definizione agevolata di rapporti tributari.","Il ricorso tributario può essere proposto avverso
il diniego o la revoca di agevolazioni, ad
eccezione del rigetto di domande di definizione
agevolata di rapporti tributari."
229,"L'art. 47 del d.lgs. del 31 dicembre 1992, n.
546, prevede che nei casi di sospensione
dell'atto impugnato:","La trattazione della controversia deve essere
fissata non oltre novanta giorni dalla
pronuncia.","La trattazione della controversia deve essere
fissata non oltre novanta giorni dalla
comunicazione a tutte le parti dell'avvenuta
sospensione.","La trattazione della controversia deve essere
fissata non oltre novanta giorni dalla
presentazione del ricorso.","La trattazione della controversia deve essere
fissata non oltre novanta giorni dalla
costituzione in giudizio."
